Latitude,Longitude
-38.06971,177.26365
-38.06969,177.2637
-38.06965,177.26375
-38.06963,177.2638
-38.06965,177.26382
-38.06967,177.26385
-38.06967,177.2639
-38.06968,177.26394
-38.06967,177.26397
-38.06966,177.26401
-38.06967,177.26406
-38.06968,177.26407
-38.06971,177.26409
-38.06974,177.26408
-38.06978,177.26407
-38.0698,177.26408
-38.06983,177.26409
-38.06985,177.26411
-38.06988,177.26414
-38.06991,177.26415
-38.06994,177.26415
-38.06998,177.26415
-38.07002,177.26415
-38.07006,177.26416
-38.07009,177.26415
-38.07012,177.26414
-38.07016,177.26415
-38.07019,177.26416
-38.07021,177.26419
-38.07024,177.26421
-38.07026,177.26424
-38.07028,177.26427
-38.0703,177.2643
-38.07032,177.26432
-38.07035,177.26436
-38.07036,177.2644
-38.07038,177.26443
-38.07039,177.26446
-38.07042,177.26453
-38.0705,177.26456
-38.07055,177.26455
-38.07057,177.26463
-38.0706,177.26463
-38.07062,177.26466
-38.07062,177.26469
-38.07061,177.26472
-38.0706,177.26478
-38.07059,177.26482
-38.07059,177.26485
-38.07059,177.26489
-38.07055,177.26492
-38.07052,177.26494
-38.0705,177.26497
-38.07048,177.265
-38.07046,177.26502
-38.07044,177.26506
-38.07041,177.26508
-38.0704,177.26511
-38.07038,177.26515
-38.07036,177.26518
-38.07034,177.26523
-38.07033,177.26527
-38.07032,177.2653
-38.0703,177.26533
-38.07027,177.26534
-38.07023,177.26536
-38.0702,177.26538
-38.07016,177.26539
-38.07013,177.26538
-38.07011,177.26535
-38.07008,177.26534
-38.07007,177.2653
-38.07007,177.26527
-38.07005,177.26525
-38.07002,177.26523
-38.07,177.26521
-38.06996,177.26521
-38.06993,177.2652
-38.06989,177.26521
-38.06987,177.26523
-38.06985,177.26526
-38.0698,177.2654
-38.06979,177.2654
-38.06976,177.26541
-38.06972,177.2654
-38.06968,177.2654
-38.06966,177.26536
-38.06967,177.26533
-38.06969,177.2653
-38.06972,177.26529
-38.06973,177.26526
-38.06972,177.26522
-38.06971,177.26518
-38.0697,177.26514
-38.06969,177.26511
-38.06968,177.26507
-38.06966,177.26503
-38.06964,177.26502
-38.06961,177.26499
-38.06959,177.26496
-38.06957,177.26492
-38.06955,177.26489
-38.06952,177.2649
-38.0695,177.26493
-38.06948,177.26496
